Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA  
"Gresham, Jade",SK,11,111,25,83,194,7,6,,21,5,36,51,37,10,13,5,101,83,2,5,10,9,5
"Daniels, Brent",GW,16,100,31,94,194,5,8,,42,3,43,19,29,7,11,2,79,111,,2,16,9,9
"Grimes, Dylan",RI,19,123,77,70,193,,1,,35,26,10,1,30,15,12,,66,112,14,,96,4,
"Naitanui, Nic",WC,17,109,13,83,192,5,4,496,40,8,61,96,41,21,19,5,160,41,8,,56,,7
"Harmes, James",ME,13,87,30,105,192,2,2,,27,13,23,17,37,8,15,,81,116,1,3,12,1,
"Yeo, Elliot",WC,10,107,22,85,192,,1,,56,4,33,61,48,5,25,8,109,80,3,,15,1,2
"Henry, Jack",GE,20,149,79,42,191,1,,,34,44,19,5,38,7,19,,71,126,7,2,93,2,2
"Rioli, Daniel",RI,17,101,46,89,190,12,3,,53,4,37,11,33,13,7,,67,130,,7,13,5,3
"Scully, Tom",HW,14,104,34,86,190,4,2,,16,11,34,8,39,4,10,,55,140,1,5,13,,11
"Sloane, Rory",AD,12,92,15,97,189,5,3,,49,10,35,42,27,16,11,3,100,85,1,1,24,2,5
"Weitering, Jacob",CA,17,146,74,42,188,,1,,17,63,18,5,36,13,13,1,87,97,15,,128,1,1
"Hipwood, Eric",BL,19,147,79,40,187,24,19,,17,,40,1,41,13,17,1,80,105,21,31,34,2,8
"Williams, Zac",GW,11,136,38,50,186,2,2,,25,27,17,13,23,7,7,1,55,122,3,1,16,5,1
"Membrey, Tim",SK,18,129,83,55,184,20,9,3,27,1,40,,30,11,9,,73,107,19,24,27,1,6
"Long, Ben",SK,15,90,49,94,184,,1,,30,24,16,11,41,12,20,2,97,105,8,,46,7,
"Richards, Ed",WB,17,93,24,90,183,6,7,,34,9,42,10,30,12,10,,81,103,1,3,25,16,7
"Walker, Josh",NM,17,107,65,75,182,3,3,2,19,21,11,1,30,11,10,,82,95,27,8,52,1,2
"Gunston, Jack",HW,16,133,68,48,181,31,21,,22,9,31,3,25,10,9,5,74,102,12,31,18,,9
"Barrass, Tom",WC,18,144,94,37,181,,,,4,47,10,1,18,12,8,3,64,121,20,,166,1,3
"Corr, Aidan",GW,15,143,59,37,180,,1,,22,68,10,2,26,4,6,,41,89,7,,74,2,
"Keath, Alex",WB,18,113,70,66,179,1,1,,15,36,8,3,23,12,8,,68,116,13,1,81,2,
"Taylor, Harry",GE,18,112,61,67,179,1,,1,25,20,13,2,23,12,9,,71,113,7,1,89,,2
"Brown, Callum",CW,14,69,24,109,178,6,2,,29,5,21,8,25,11,7,,80,105,1,5,8,,6
"Lever, Jake",ME,17,121,75,57,178,,,,25,42,12,1,24,11,9,,79,102,11,,109,,
"Cameron, Charlie",BL,19,139,64,38,177,31,22,,42,2,39,6,35,20,17,1,71,106,10,28,14,9,5
"Lester, Ryan",BL,15,107,62,70,177,,1,,35,28,8,4,25,7,10,,63,105,11,,52,,
"Cameron, Jeremy",GW,17,121,67,55,176,24,13,2,24,4,37,5,41,15,25,3,85,96,19,21,32,1,9
"Fritsch, Bayley",ME,16,128,81,48,176,22,24,,17,4,31,,35,10,10,1,58,120,14,37,18,,12
"Henderson, Lachie",GE,13,132,89,44,176,1,,,16,36,13,3,26,3,10,,43,123,11,1,46,,
"Clurey, Tom",PA,18,135,78,40,175,,,,18,40,16,1,27,13,13,1,61,110,11,,92,2,
"Collins, Sam",GC,17,107,74,68,175,,,,27,45,9,3,19,18,6,,84,87,18,,107,,1
"Bewley, Brett",FR,12,100,40,74,174,5,,,21,14,25,12,11,6,1,,53,120,,,6,3,3
"Lobb, Rory",FR,17,116,63,57,173,10,6,156,24,12,40,15,33,15,6,3,104,81,37,16,35,,5
"Smith, Isaac",HW,10,100,35,73,173,5,2,,21,19,32,10,30,2,7,3,45,125,1,3,10,2,
"Balta, Noah",RI,16,123,63,49,172,1,1,1,14,52,12,,37,10,15,1,66,102,16,1,81,1,1
"Day, Will",HW,11,100,48,72,172,1,1,,15,28,18,5,19,10,3,,45,115,4,2,26,,
"Witts, Jarrod",GC,17,98,37,73,171,,3,477,28,9,32,53,42,18,21,2,103,70,9,4,53,,3
"Andrews, Harris",BL,16,113,71,58,171,,,,17,41,8,2,17,14,8,4,79,93,17,,150,,1
"Duman, Taylin",FR,15,113,46,58,171,,,,29,37,16,8,27,10,8,,70,100,2,,56,2,1
"Sinclair, Jack",SK,12,98,30,73,171,,1,,30,16,36,27,15,6,3,,72,99,1,3,13,5,9
"Dixon, Charlie",PA,18,110,69,60,170,34,21,46,30,2,19,11,45,18,14,9,125,54,46,34,36,,6
"Darling, Jack",WC,18,112,64,57,169,30,12,8,35,1,30,3,34,20,9,,111,66,35,25,40,,15
"Schultz, Lachie",FR,17,109,61,60,169,12,7,,43,5,28,5,44,15,13,,64,108,4,17,8,,5
"Kolodjashnij, Jake",GE,16,119,73,50,169,,3,,23,21,18,2,27,2,11,,40,130,6,1,65,,3
"Starcevich, Brandon",BL,18,125,57,43,168,1,2,,29,33,25,8,28,10,9,,68,101,9,1,25,,3
"Rayner, Cam",BL,17,85,51,82,167,17,7,,54,5,36,21,23,12,11,2,69,101,6,15,20,2,9
"Cripps, Jamie",WC,14,94,36,73,167,9,7,,45,2,38,13,31,9,9,,73,103,2,8,11,3,11
"Ablett, Gary",GE,11,93,23,74,167,9,8,,26,8,41,16,29,5,10,1,76,93,1,7,5,,12
"Broad, Nathan",RI,15,121,63,46,167,,,1,26,42,16,3,14,6,6,,42,124,4,,42,7,
"Taberner, Matthew",FR,16,129,92,37,166,29,13,8,8,4,29,3,37,10,12,3,83,89,38,36,22,,5
"Wallis, Mitch",WB,18,83,42,83,166,25,14,,32,1,21,4,17,20,7,2,90,81,12,25,11,,11
"McInerney, Oscar",BL,19,91,33,75,166,6,4,363,57,21,31,54,33,19,13,,117,56,17,10,50,,3
"Geary, Jarryn",SK,16,83,48,83,166,5,1,,28,17,13,14,24,6,11,,67,103,7,6,35,1,4
"McCarthy, Lincoln",BL,17,89,40,76,165,15,15,,53,6,31,21,31,14,11,,92,76,9,16,11,1,6
"McLean, Toby",WB,12,57,16,108,165,6,4,,45,4,26,18,19,13,10,,63,101,2,4,5,,5
"Lycett, Scott",PA,15,76,19,89,165,2,3,352,39,13,28,51,32,25,12,,103,67,2,3,52,3,2
"Clarke, Ryan",SY,10,86,25,79,165,2,1,,25,15,29,18,22,10,5,1,65,99,,1,10,1,
"Riewoldt, Jack",RI,20,128,72,36,164,31,18,2,24,2,37,5,46,12,15,2,80,81,26,42,27,,9
"Lynch, Tom",RI,18,114,64,50,164,31,26,2,20,,26,5,43,17,24,,87,81,29,40,21,,7
"Frost, Sam",HW,16,96,55,68,164,,2,,20,45,11,,35,9,16,,69,94,13,,60,3,
"Plowman, Lachie",CA,16,116,54,47,163,,2,,30,37,13,4,25,11,9,,56,102,7,,60,,
"Blakey, Nick",SY,16,126,36,36,162,8,13,,36,9,42,24,29,15,8,,70,90,5,9,14,7,5
"Prestia, Dion",RI,8,78,12,84,162,2,,,30,10,27,28,31,7,9,3,63,99,,,10,,3
"Tomlinson, Adam",ME,13,106,56,56,162,,1,1,22,25,22,6,20,2,6,,40,126,3,1,26,,1
"Hayward, Will",SY,16,87,54,74,161,10,3,,37,4,17,7,29,11,12,,73,85,15,10,24,,3
"Harbrow, Jarrod",GC,13,118,40,43,161,,,,13,28,14,3,31,6,12,,37,118,2,,22,2,1
"Rampe, Dane",SY,11,105,42,56,161,,,,15,60,5,3,26,9,15,1,51,99,5,,65,3,
"Melksham, Jake",ME,17,110,49,50,160,15,8,,23,3,37,11,42,11,13,,65,103,3,14,22,,10
"Rohan, Gary",GE,18,120,60,39,159,22,17,,34,1,38,1,31,14,9,3,87,77,14,21,27,4,10
"Redman, Mason",ES,13,94,41,65,159,1,1,,22,31,10,2,27,6,11,,47,104,7,1,19,5,
"Mihocek, Brody",CW,18,110,68,48,158,25,9,,33,,39,2,38,12,17,5,85,77,18,25,24,,3
"Williamson, Tom",CA,15,103,48,55,158,1,1,,28,28,15,10,32,11,9,,56,103,2,,22,3,4
"Ballard, Charlie",GC,16,114,68,44,158,,,,13,42,8,5,35,7,9,,58,94,20,,78,,
"Cole, Tom",WC,15,95,48,62,157,3,,,30,25,13,7,16,14,7,,60,105,5,2,25,3,
"Roughead, Jordan",CW,17,90,64,67,157,,,,18,29,5,2,19,10,4,,48,115,7,,78,1,1
"McGovern, Jeremy",WC,12,114,72,43,157,,,,14,32,7,1,18,9,9,2,68,94,20,,66,,
"Hill, Stephen",FR,12,96,40,61,157,,,,21,30,17,4,23,7,6,,49,111,4,1,22,1,
"Zurhaar, Cameron",NM,16,102,46,54,156,18,11,1,38,,34,9,39,18,17,,82,81,15,14,11,7,4
"Davies-Uniacke, Luke",NM,9,73,19,83,156,2,,,21,16,29,22,30,6,12,2,73,87,,,7,7,3
"Morrison, Harry",HW,11,92,38,64,156,,1,,19,20,21,13,21,5,8,,50,109,,1,16,,2
"Ah Chee, Brendon",WC,16,77,36,78,155,6,5,,26,9,18,11,30,9,6,,85,83,9,6,20,1,7
"Pittard, Jasper",NM,11,105,33,50,155,4,,,17,35,20,,29,13,4,,40,97,,1,36,3,3
"Mackay, David",AD,10,73,25,82,155,2,2,,16,22,20,5,19,3,7,,45,101,2,3,18,4,
"Madgen, Jack",CW,13,85,46,70,155,,,,22,29,7,4,14,9,2,,48,110,2,,42,3,
"Himmelberg, Harry",GW,16,96,43,57,153,15,4,14,27,9,30,8,33,14,15,1,79,75,11,12,37,1,8
"de Boer, Matt",GW,13,58,20,95,153,2,,,46,9,15,23,32,21,20,1,80,81,,,9,,2
"Casboult, Levi",CA,17,112,80,40,152,16,8,86,31,6,22,13,47,9,22,2,81,72,30,25,19,,2
"Motlop, Steven",PA,14,84,33,65,149,13,2,,24,9,30,7,29,4,11,3,63,87,3,7,9,,10
"Thomas, Josh",CW,14,70,26,78,148,4,4,,28,,19,12,25,4,9,,69,86,,5,12,1,5
"Steven, Jack",GE,9,84,33,64,148,1,2,,35,7,21,24,16,12,6,,41,103,,1,5,2,1
"Cox, Brennan",FR,13,83,51,65,148,,,,11,27,10,,19,10,7,,62,94,14,,89,1,
"Quaynor, Isaac",CW,11,74,33,74,148,,,,25,25,17,4,7,5,1,,47,95,3,1,23,,1
"McDonald-Tipungwuti, Anthony",ES,17,86,35,61,147,19,7,,57,2,28,12,27,8,16,2,79,72,5,13,21,12,5
"Day, Sam",GC,17,68,47,79,147,12,7,54,21,,26,4,36,9,16,2,68,76,14,15,35,,10
"Carlisle, Jake",SK,13,107,73,39,146,,,9,17,31,6,1,13,8,4,1,50,94,12,,56,,1
"Higgins, Jack",RI,10,89,36,56,145,5,7,,17,6,28,11,22,16,6,,60,90,1,10,7,,4
"Edwards, Shane",RI,9,63,10,82,145,5,,,24,3,25,39,16,8,5,1,70,79,1,,14,5,8
"Seedsman, Paul",AD,9,79,24,65,144,4,5,,28,17,22,12,20,7,5,,39,103,2,1,7,10,
"Fox, Robbie",SY,14,86,30,58,144,,,,37,42,11,5,16,10,9,,46,102,1,,73,1,1
"Battle, Josh",SK,14,108,52,34,142,12,9,6,26,21,19,7,24,10,8,,55,87,8,13,17,2,3
"Kent, Dean",SK,15,96,48,46,142,10,5,,29,4,38,5,30,9,6,,55,88,3,8,11,4,6
"Zaharakis, David",ES,10,63,24,79,142,9,4,,20,3,17,6,17,1,3,4,40,100,,3,5,3,2
"Vandenberg, Aaron",ME,12,73,34,69,142,1,1,,31,16,25,25,33,8,14,,57,93,2,3,17,,4
"Breust, Luke",HW,13,77,24,64,141,16,6,,51,4,28,23,27,14,13,,79,73,5,11,17,4,11
"McEvoy, Ben",HW,16,69,51,72,141,4,1,161,31,7,9,13,19,10,8,,81,69,20,3,81,,3
"Hannebery, Dan",SK,8,67,19,74,141,1,2,,13,8,25,22,19,2,5,,46,94,,1,5,,1
"Gleeson, Martin",ES,13,75,40,65,140,,,,17,30,10,2,22,2,8,,42,94,3,,36,6,1
"Burgoyne, Shaun",HW,13,77,26,62,139,11,2,,32,13,31,8,27,3,13,2,63,72,2,7,27,1,9
"Guelfi, Matt",ES,11,72,37,67,139,,,,18,20,12,7,22,5,8,,50,86,7,1,27,,2
"Rankine, Izak",GC,12,90,26,48,138,12,17,,21,2,33,12,32,12,15,1,74,63,4,8,11,5,6
"Scott, Bailey",NM,13,81,39,57,138,8,1,,29,9,17,15,26,6,9,,62,80,4,8,3,6,3
"Cuningham, David",CA,12,72,32,66,138,6,6,,33,3,31,9,23,5,6,3,56,80,4,4,6,11,4
"Macpherson, Darcy",GC,12,80,26,58,138,4,,,33,2,28,11,23,11,8,,54,85,,1,8,,3
"Budarick, Connor",GC,15,92,35,46,138,1,,,25,30,14,3,30,9,9,,48,93,2,,23,,1
"King, Max",SK,18,84,57,53,137,22,20,17,22,1,18,1,25,10,12,,89,55,30,30,22,,5
"Ceglar, Jonathon",HW,13,55,29,82,137,1,,274,32,14,12,39,33,14,19,2,84,56,14,3,24,,3
"Bruce, Josh",WB,17,55,47,81,136,14,8,19,28,2,16,10,30,10,15,3,74,63,18,20,29,,2
"Ash, Lachie",GW,12,79,31,57,136,1,,,22,16,17,7,21,5,5,,53,92,1,,22,4,1
"Aarts, Jake",RI,14,71,31,64,135,14,5,,33,3,23,7,32,8,18,1,57,84,1,10,10,3,4
"de Goey, Jordan",CW,10,86,26,49,135,14,12,,12,5,28,17,19,6,4,5,65,71,4,10,10,2,4
"Aliir, Aliir",SY,14,78,45,57,135,3,1,66,22,24,15,19,30,4,14,,59,76,7,3,41,7,
"Jones, Liam",CA,17,111,72,24,135,,2,,24,28,17,,28,9,15,1,67,65,22,2,169,,
"Darcy, Sean",FR,15,42,25,92,134,5,6,330,26,3,12,30,44,7,29,,92,51,12,4,41,,4
"Acres, Blake",FR,7,75,40,59,134,,,,19,13,18,12,22,3,7,2,34,99,,1,4,1,1
"Betts, Eddie",CA,15,89,24,44,133,13,13,,41,1,32,7,33,8,8,3,69,59,3,9,7,,12
"Allen, Oscar",WC,15,86,44,46,132,18,8,66,41,7,15,15,19,18,8,5,74,66,16,12,38,,4
"Stephenson, Jaidyn",CW,14,85,47,47,132,14,10,,25,5,23,,19,4,9,,38,101,2,19,10,3,6
"Ladhams, Peter",PA,10,60,21,72,132,6,2,124,19,6,15,21,34,17,22,2,77,56,9,4,15,,1
"Sexton, Alex",GC,14,103,44,28,131,19,12,,22,2,27,4,19,7,8,1,48,83,2,14,13,1,7
"Lonie, Jack",SK,13,95,44,36,131,12,7,,28,4,23,5,20,10,5,,45,84,1,12,12,1,5
"Doedee, Tom",AD,9,75,47,54,129,,,,15,31,5,3,17,6,3,,44,74,11,1,32,2,
"Stanley, Rhys",GE,10,62,29,65,127,10,4,183,13,6,23,30,23,11,12,,69,54,9,9,28,,2
"McStay, Daniel",BL,17,80,54,45,125,11,6,7,27,3,23,3,22,9,8,,70,59,24,13,25,,5
"McInerney, Justin",SY,9,60,26,65,125,5,,,13,6,19,5,22,8,8,,47,82,3,2,14,,4
"Macmillan, Jamie",NM,10,67,27,58,125,1,,,23,28,10,7,16,15,6,,42,81,2,1,27,4,
"Kelly, Jake",AD,15,86,44,39,125,,,,38,29,10,1,26,10,11,,47,73,7,,55,,
"Wills, Rupert",CW,8,43,10,82,125,,,,38,6,11,21,22,8,9,,53,74,,,9,,2
"Talia, Daniel",AD,14,83,47,41,124,,,,15,35,10,4,17,10,9,,51,69,7,,83,,
"Wood, Easton",WB,13,79,50,45,124,,,,19,29,7,2,18,7,8,1,49,72,8,,48,4,
"Finlayson, Jeremy",GW,15,102,38,21,123,19,10,44,35,10,24,17,25,10,10,,45,72,9,16,20,1,4
"Lloyd, Daniel",GW,12,74,38,49,123,7,,,28,5,15,10,26,4,9,,48,78,2,6,12,,4
"Rivers, Trent",ME,9,75,28,48,123,2,2,,13,21,11,5,18,11,4,,43,73,5,,11,1,1
"McAdam, Shane",AD,13,79,47,43,122,12,12,,38,4,22,1,20,11,9,,60,62,14,16,9,1,4
"Westhoff, Justin",PA,12,77,45,45,122,10,7,42,26,3,15,9,25,8,8,2,52,75,11,12,46,,3
"Jones, Chayce",AD,15,64,22,58,122,6,1,,28,10,20,18,38,14,15,,68,64,2,3,10,,2
"Frawley, James",HW,14,77,41,45,122,,,,10,26,6,,22,6,14,,45,77,2,,75,,1
"Bonner, Riley",PA,9,97,33,25,122,,,,7,25,13,6,25,1,8,,27,90,2,,20,,
"King, Ben",GC,17,88,48,33,121,25,20,,7,1,15,1,25,12,10,1,67,53,15,30,23,2,1
"Holman, Nick",GC,12,48,27,73,121,2,,,41,7,17,10,19,6,11,,58,65,,3,13,,3
"Stratton, Ben",HW,14,66,41,55,121,1,,,17,16,6,,34,7,13,,42,80,7,1,48,,
"Kennedy, Josh",WC,17,96,69,23,119,34,22,,16,,14,1,24,13,15,6,54,68,19,44,22,,1
"McCartin, Tom",SY,14,70,51,49,119,9,2,3,12,11,16,2,25,9,13,,64,53,24,9,33,,3
"Sinclair, Callum",SY,13,64,32,55,119,3,3,293,33,15,16,30,38,15,24,,69,50,8,4,29,,1
"Nankervis, Toby",RI,10,57,26,61,118,3,1,161,39,10,17,24,33,13,15,,69,41,10,1,25,,
"Cordy, Zaine",WB,14,86,40,32,118,,,5,20,31,10,2,15,8,5,,37,81,2,1,71,1,1
"Vandermeer, Laitham",WB,12,72,31,45,117,9,9,,26,4,32,6,24,7,11,,29,94,3,14,7,,2
"Stengle, Tyson",AD,12,66,20,51,117,8,9,,25,2,20,9,23,6,11,,53,64,1,6,11,,9
"Atkins, Tom",GE,12,43,11,74,117,4,1,,38,6,9,16,22,5,6,,63,62,,2,9,,3
"Cousins, James",HW,6,60,20,57,117,1,3,,16,7,29,21,14,5,7,,38,81,1,,9,5,2
"OBrien, Tim",HW,16,82,47,34,116,12,3,34,28,4,28,6,20,13,12,,57,62,14,8,32,,5
"Keeffe, Lachlan",GW,13,66,47,50,116,,,,11,18,10,,20,4,6,,45,74,10,,114,1,1
"Witherden, Alex",BL,6,92,39,23,115,,,,7,24,13,3,11,6,2,2,25,78,,,7,,
"Caldwell, Jye",GW,9,56,27,58,114,1,2,,33,3,20,12,20,4,7,,52,66,2,4,5,,2
"McPherson, Andrew",AD,9,56,25,58,114,,,,15,17,8,2,13,6,2,,46,69,5,,16,,1
"Ryder, Paddy",SK,14,79,29,34,113,10,2,293,35,4,25,28,19,16,13,1,71,39,10,8,40,,4
"Simpson, Sam",GE,8,57,23,56,113,3,2,,27,5,7,14,17,7,8,,53,56,1,3,4,1,2
"Kennedy, Matthew",CA,7,63,26,50,113,2,1,,20,10,18,18,19,5,2,,52,58,5,1,3,1,3
"Tucker, Darcy",FR,8,68,21,44,112,4,2,,26,9,19,19,22,7,8,2,42,75,,3,2,,2
"Marshall, Todd",PA,14,84,41,27,111,11,9,3,35,5,28,1,22,10,5,,52,59,8,15,30,,6
"Murphy, Lachlan",AD,12,57,17,54,111,7,8,,38,3,20,3,15,14,7,,49,64,1,5,13,,7
"Hartigan, Kyle",AD,12,68,37,43,111,,,,18,34,4,1,19,8,8,,44,63,5,,55,,
"Cutler, Tom",ES,8,66,25,44,110,2,5,,10,8,14,5,16,5,6,,35,71,,3,6,6,3
"Pickett, Kysaiah",ME,14,62,17,47,109,7,13,,35,1,22,7,33,5,18,,66,44,1,5,11,3,6
"Pittonet, Marc",CA,13,59,23,50,109,,3,292,25,5,18,40,26,15,15,,74,27,14,2,32,,
"Soldo, Ivan",RI,14,52,23,56,108,2,3,292,38,8,6,28,33,17,21,,69,36,5,3,41,,2
"Fisher, Zac",CA,8,57,13,50,107,6,2,,20,,24,8,8,3,1,1,46,59,,1,7,7,3
"Thurlow, Jackson",SY,8,65,27,42,107,3,2,,17,20,10,7,10,4,2,,33,74,2,1,22,,1
"Rotham, Josh",WC,10,90,52,17,107,,,,13,29,10,1,12,5,4,,15,92,2,,45,,
"Himmelberg, Elliott",AD,11,58,33,48,106,9,10,36,20,4,12,9,12,11,3,,63,47,17,13,22,1,1
"Brown, Tyler",CW,9,45,14,61,106,2,,,13,6,11,13,11,1,3,,43,67,1,1,14,,3
"Walker, Taylor",AD,14,74,36,31,105,15,9,5,14,,26,5,22,10,8,,58,51,13,10,31,,6
"Sholl, Lachlan",AD,8,72,24,33,105,2,1,,7,15,13,10,11,5,2,3,29,79,,1,9,,1
"Henderson, Ricky",HW,7,55,37,50,105,,,,11,11,11,9,10,3,1,,26,76,,1,11,1,
"Ratugolea, Esava",GE,12,60,32,44,104,5,5,73,30,1,17,13,25,14,8,,72,36,17,11,18,,2
"Ward, Callan",GW,7,56,16,48,104,3,1,1,11,10,14,15,7,7,4,,37,68,1,,7,1,2
"Jones, Nathan",ME,8,50,23,54,104,1,3,,13,8,16,3,14,4,1,,37,67,,3,,1,3
"Astbury, David",RI,8,68,38,36,104,,,3,16,20,7,4,21,7,6,,42,59,7,,31,,1
"Waterman, Jake",WC,10,78,51,25,103,9,2,,8,7,13,2,15,6,3,,28,72,5,6,5,,3
"Farrell, Kane",PA,11,56,21,46,102,6,9,,30,5,20,5,11,2,2,1,33,66,3,3,14,5,1
"McKay, Ben",NM,11,43,36,59,102,,,2,18,11,7,1,15,7,6,,35,64,5,,74,,
"Burton, Ryan",PA,8,74,30,27,101,,1,,8,19,8,4,14,,2,,27,67,3,,16,2,1
"Weideman, Sam",ME,13,59,41,41,100,19,8,,6,,17,,16,7,8,,47,52,17,25,18,,5
"Stephens, Dylan",SY,8,68,27,32,100,2,3,,26,7,13,4,22,6,6,,37,72,,3,10,3,1
"Caddy, Josh",RI,8,56,32,44,100,2,2,1,14,7,21,7,13,,5,,29,67,6,5,2,,3
"Ham, Brayden",ES,10,67,28,32,99,1,1,,13,9,33,3,10,1,2,,24,74,1,2,4,2,2
"Hind, Nick",SK,10,56,17,42,98,6,5,,28,5,20,11,15,6,11,2,50,49,1,4,16,8,4
"Ellis-Yolmen, Cam",BL,9,50,18,48,98,3,2,,21,10,14,25,14,5,6,,55,42,2,3,8,,
"Williams, Marley",NM,8,69,22,29,98,,1,,13,25,10,3,15,4,6,,35,63,3,,13,,1
"McKay, Harry",CA,13,76,57,21,97,21,15,,20,1,15,,35,14,17,2,55,44,22,32,17,2,1
"Varcoe, Travis",CW,9,54,21,42,96,1,2,,15,12,14,3,14,,2,,20,76,1,,12,,3
"Answerth, Noah",BL,9,71,25,24,95,,,,17,19,8,3,17,3,3,,38,57,2,,19,,1
"Schoenberg, Harry",AD,8,40,11,54,94,3,,,15,4,15,13,13,3,4,,47,52,,1,4,,1
"Hanley, Pearce",GC,8,67,30,26,93,,1,,12,18,16,4,21,4,8,,30,62,3,1,6,5,1
"Ross, Jack",RI,7,48,14,45,93,,,,20,6,15,11,14,5,2,,36,62,,,9,,4
"Taylor, Curtis",NM,9,51,32,41,92,5,2,,14,3,15,5,13,7,4,,41,54,7,7,4,,3
"Stack, Sydney",RI,9,30,15,62,92,2,2,,26,4,11,6,28,5,15,,42,59,,4,7,,1
"Green, Tom",GW,6,31,15,60,91,1,3,,14,4,5,18,16,2,3,,53,39,1,2,2,,2
"Hooker, Cale",ES,8,43,37,46,89,3,3,,6,16,,,14,4,5,,37,44,5,4,39,1,
"Melican, Lewis",SY,9,52,21,37,89,,,,14,24,3,3,17,6,6,,37,47,8,,48,,
